Concept;Question class;Question type;Question content;Answer;Alternative 1;Alternative 2;Alternative 3;Explanation;Difficulty rating (</= 20)
Applying for and accepting vehicle finance;Seed;MC-AOTA;Imaphi amanye amaphepha adingekayo ukuapulayela i{vehicle finance}?;Zonke ezibaliwe;i{Proof} yendawo yokuhlala;i{Payslip} noma Isitatimende esezinyanga ezingu 3;i{ID}/ikhadi kanye nelayisense yomshayeli;Udinga i{proof} Yomazisi, i{address} yokuhlala, iholo ({income}) kanye ne mvume yomlingani ({spouse}) uma ushade ngokuhlanganyela, kanye futhi ne layisense yokushayela ukuaplayela i{vehicle finance};2
Applying for and accepting vehicle finance;Retention;MC-AOTA;Imaphi kulamaphepha owadingayo uma uaplayela i{vehicle finance}?;Zonke ezibaliwe;Imvume yomlingani uma nishade ngokuhlanganyela;i{Proof} yendawo yokuhlala neyeholo ({income});i{ID}/ikhadi kanye nelayisense yomshayeli;Udinga i{proof} Yomazisi, i{address} yokuhlala, iholo ({income}) kanye ne mvume yomlingani ({spouse}) uma ushade ngokuhlanganyela, kanye futhi ne layisense yokushayela ukuaplayela i{vehicle finance};9
Applying for and accepting vehicle finance;Application;MC;Imaphi kulamaphepha ongawadingi ukuaplayela i{vehicle finance}?;Isitifiketi sika {Matric};Ilayisense yokushayela;i{Proof} yendawo yokuhlala;Zonke ezibaliwe;Awudingi isitifiketi sika {Matric} ukuaplayela i{vehicle finance} kodwa uyayidinga i{proof} yokuhlala kanye ne layisense yokushayela;16
Applying for and accepting vehicle finance;Seed;T/F;Uma ushade ngokuhlanganyela ({community of property}) udinga imvume ebhalwe ngumlingani ({spouse}) ukuaplayela iskweletu;Iqiniso;Amanga;;;Uma ushade ngokuhlanganyela ({community of property}) udinga imvume ebhalwe ngumlingani ({spouse}) wakho ukuze ukwazi ukungena esivumelwaneni se {vehicle finance};3
Applying for and accepting vehicle finance;Retention;MC;Udinga imvume ebhalwe ngumlingani ({spouse}) wakho uma ushadile ukuze uthole ifinance yemoto________;Umshado wokuhlanganyela ({community of property});Ngaphandle komshado wokuhlanganyela;Unazo izingani (abantwana); Ngaphandle kokwanda;Abantu abashade ngokuhlanganyela ({community of property}) badinga imvume ebhalwe ngumlingani ({spouse}) wabo ukuze bengene esivumelwaneni ({contract}) se {vehicle finance};10
Applying for and accepting vehicle finance;Application;T/F;Udinga imvume kumlingani wakho uma i{vehicle finance} ibiza ngaphezulu kuka {R500,000};Amanga;Iqiniso;;;Abantu abashade ngomshado wokuhlanganyela badinga imvume ebhaliwe kumlingani ({spouse}) ngaso sonke isikhathi ukuze bakwazi ukungena kusivumelwano se {vehicle finance} senani ({value}) noma liphi;17
Applying for and accepting vehicle finance;Seed;MC;Kwenzekani uma isicelo ({application}) se {vehicle finance} sivunyelwe? ;Ungakhetha ukuyithatha imali ({finance});Kufana noku{sign}a isivumelwano;Ungahamba uyolanda imoto yakho;Udinga ukukhokha i{deposit} ngokushesha ;Uma ngabe isicelo ({application}) sakho sivunyelwe, usenokukhetha ukusithatha isikweletu noma cha. Awukangeni kusivumelwano uma ungaka sayini ({sign});2
Applying for and accepting vehicle finance;Retention;T/F;Uma isicelo ({application}) sakho semali sivunyelwe, ulindelwe ukuthi usayine {sign} isivumelwano bese uthenga imoto;Amanga;Iqiniso;;;Uma ngabe isicelo ({application}) sakho sivunyelwe, usenokukhetha ukusithatha isikweletu noma cha. Awukangeni kusivumelwano uma ungaka sayini ({sign});9
Applying for and accepting vehicle finance;Application;T/F;Ukuvunyelwa kwesicelo ({application}) sakho kufana nokusayina {Signing} isivumelwano semoto ({vehicle finance}).;Amanga;Iqiniso;;;Uma ngabe isicelo ({application}) sakho sivunyelwe, usenokukhetha ukusithatha isikweletu noma cha. Awukangeni kusivumelwano uma ungaka sayini ({sign});16
Applying for and accepting vehicle finance;Seed;MC;Uma ngabe isicelo ({application}) sakho singavunyelwanga, umbolekisi wemali ({credit provider})_______;Kufanele asho ukuthi kungani engavumanga;Akadinge ukusho ukuthi kungani engavumanga;Angeke bavume ukuthi uaplaye ngesikhathi esizayo;Sithumela kumeluleki wezikweletu ({debt advisor});Ngokwe {National Credit Act}, unelungelo lokubuza ukuthi umbolekisi wezimali ({credit Provider}) akasivumanga ngani isicelo sesikweletu ({credit application});2
