Concept;Question class;Question type;Question content;Answer;Alternative 1;Alternative 2;Alternative 3;Explanation;Difficulty rating (</= 20)
Applying for and accepting formal credit;Seed;MC-AOTA;Udinga maphi ama {document} ukuzi aplayela i{credit}?;Zonke ezibaliwe;Ubufakazi bendawo yokuhlala;i{Payslip} noma i{bank statement} ukubonisa iholo;Ikhadi noma ibhuku le ID noma i{passport};Uku aplayela i{credit} udinga i{proof} yobuwena, i{address} yakho (eg. i{statement} esibiza indawo), iholo, kanye nemvumo yoshade naye (uma ushade ngokuhlanganyela);2
Applying for and accepting formal credit;Retention;MC-AOTA;Udinga maphi ama {document} ukuzi aplayela i{credit}?;Zonke ezibaliwe;Imvume yoshade naye umu'shade emphakhathi wempahla;Ubufakazi bendawo kanye neholo;Ikhadi noma ibhuku le ID noma i{passport};Uku aplayela i{credit} udinga i{proof} yobuwena, i{address} yakho (eg. i{statement} esibiza indawo), iholo, kanye nemvumo yoshade naye (uma ushade ngokuhlanganyela);9
Applying for and accepting formal credit;Retention;MC-AOTA;Udinga maphi ama {document} uku aplayela i{credit}?;Zonke ezibaliwe;Imvume yoshade naye umu'shade emphakhathi wempahla;i{Statement} esibiza indawo;i{{Proof}} yendawo yokuhlala;i{{Proof}} yendawo yokuhlala;9
Applying for and accepting formal credit;Application;MC-F;Imaphi kulama {document} ONGAWADINGI uku aplayela i{credit}?;Ukubuyiswa kwentela;i{{Proof}} yobuwena;i{{Proof}} yendawo yokuhlala;Zonke ezibaliwe;Awudingi ukubuyiselwa intela uku aplayela i{credit}, kodwa udinga ubufakazi bendawo yokuhlala kanye nobufakazi beholo ;16
Applying for and accepting formal credit;Seed;T/F;{{Ukushada ngokuhlanganyela}} kusho ukuthi impahla yamakoti nekamkhwenyana ingeyamakoti nomkhwenyana ngokulinganayo;Iqiniso;Amanga;;;Uma ushade ngokuhlanganyela, yonke impahla yakho nalo oshade naye ingeyenu nobabili ngokusemthethweni;3
Applying for and accepting formal credit;Retention;MC;Uma impahla kamakoti nomkhwenyana ingeyabo bobabili ngokulinganayo, kusho ukuthi bashade _____________;Ngokuhlanganyela;Ngaphandle kokuhlanganyela;Ngokwenza izinto lula;Empahleni yomphakathi;Uma ushade ngokuhlanganyela, yonke impahla yakho nalo oshade naye ingeyenu nobabili ngokusemthethweni;10
Applying for and accepting formal credit;Application;T/F;{{Ukushada ngaphandle kokuhlanganyela}} kusho ukuthi impahla yamakoti nomkhwenyana ingeyabo ngokulinganayo;Amanga;Iqiniso;;;Uma ushade ngokuhlanganyela, yonke impahla yakho kanye nezikweletu zakho nalo oshade kuzoba ngezenu nobabili ngokusemthethweni. Kusho ukuthi umthwalo wemfanelo wezikweletu owenu nobabili;17
Applying for and accepting formal credit;Seed;T/F;{{Ukushada ngokuhlanganyela}} kusho ukuthi izikweletu zikamakoti nomkhwenyana zifanele ukukhokhelwa yibo bobabili;Iqiniso;Amanga;;;Uma ushade ngokuhlanganyela kusho ukuthi zonke izikweletu kanye nempahla yakho kanye nezikweletu nempahla yalo oshade naye ezenu nobabili ngokulinganayo;3
Applying for and accepting formal credit;Retention;MC;Uma umakoti nomkhwenyana befanele ukukhokhela izikweletu zabo ngokulinganayo, kusho ukuthi bashade _____________;Ngokuhlanganyela;Ngaphandle kokuhlanganyela;Ngokusho kwe {{National Credit Act}};Empahleni yomphakathi;Uma ushade ngokuhlanganyela kusho ukuthi zonke izikweletu kanye nempahla yakho kanye nezikweletu nempahla yalo oshade naye ezenu nobabili ngokulinganayo;10
Applying for and accepting formal credit;Application;T/F;Uma ushade {{ngokuhlanganyela}} u{responsible for} izikweletu zalo oshade naye;Iqiniso;Amanga;;;Uma ushade ngokuhlanganyela kusho ukuthi zonke izikweletu kanye nempahla yakho kanye nezikweletu nempahla yalo oshade naye ezenu nobabili ngokulinganayo;17
